Vin ,N10:d wcor 1.5e-06  (A),N10:d wcor 3e-06  (A),N10:d wcor 6e-06  (A),N10:d wcor 1.5e-05  (A),N10:d wcor 2.25e-05  (A),N10:d wcor 3.3e-05  (A)
1.690,293.5E-12,295.9E-12,298.4E-12,301.2E-12,302.2E-12,303.2E-12
1.700,227.6E-12,229.4E-12,231.3E-12,233.4E-12,234.2E-12,235.0E-12
1.710,176.6E-12,177.8E-12,179.3E-12,180.9E-12,181.6E-12,182.2E-12
1.720,137.0E-12,138.0E-12,139.1E-12,140.4E-12,140.9E-12,141.3E-12
1.730,106.5E-12,107.2E-12,108.0E-12,109.0E-12,109.4E-12,109.8E-12
1.740,82.85E-12,83.34E-12,84.01E-12,84.79E-12,85.10E-12,85.38E-12
1.750,64.59E-12,64.95E-12,65.48E-12,66.09E-12,66.34E-12,66.56E-12
1.760,50.51E-12,50.76E-12,51.18E-12,51.67E-12,51.86E-12,52.04E-12
1.770,39.64E-12,39.82E-12,40.15E-12,40.54E-12,40.70E-12,40.85E-12
1.780,31.26E-12,31.38E-12,31.65E-12,31.98E-12,32.11E-12,32.22E-12
1.790,24.80E-12,24.89E-12,25.11E-12,25.38E-12,25.49E-12,25.59E-12
1.800,19.84E-12,19.89E-12,20.07E-12,20.30E-12,20.39E-12,20.48E-12
1.810,16.02E-12,16.04E-12,16.20E-12,16.40E-12,16.48E-12,16.55E-12
1.820,13.08E-12,13.09E-12,13.23E-12,13.40E-12,13.47E-12,13.54E-12
1.830,10.83E-12,10.82E-12,10.95E-12,11.10E-12,11.17E-12,11.22E-12
1.840,9.111E-12,9.087E-12,9.203E-12,9.344E-12,9.400E-12,9.452E-12
1.850,7.800E-12,7.759E-12,7.867E-12,7.997E-12,8.050E-12,8.098E-12
1.860,6.806E-12,6.748E-12,6.849E-12,6.971E-12,7.020E-12,7.065E-12
1.870,6.058E-12,5.983E-12,6.078E-12,6.193E-12,6.239E-12,6.281E-12
1.880,5.504E-12,5.411E-12,5.501E-12,5.609E-12,5.652E-12,5.692E-12
1.890,5.100E-12,4.992E-12,5.076E-12,5.177E-12,5.218E-12,5.254E-12
1.900,4.812E-12,4.691E-12,4.770E-12,4.864E-12,4.902E-12,4.936E-12
1.910,4.607E-12,4.470E-12,4.546E-12,4.636E-12,4.672E-12,4.704E-12
1.920,4.458E-12,4.303E-12,4.377E-12,4.465E-12,4.500E-12,4.531E-12
1.930,4.347E-12,4.175E-12,4.247E-12,4.334E-12,4.368E-12,4.399E-12
1.940,4.263E-12,4.076E-12,4.147E-12,4.233E-12,4.267E-12,4.298E-12
1.950,4.200E-12,4.000E-12,4.070E-12,4.155E-12,4.188E-12,4.218E-12
1.960,4.151E-12,3.941E-12,4.009E-12,4.093E-12,4.126E-12,4.156E-12
1.970,4.113E-12,3.896E-12,3.961E-12,4.045E-12,4.078E-12,4.108E-12
1.980,4.084E-12,3.860E-12,3.923E-12,4.006E-12,4.039E-12,4.068E-12
1.990,4.061E-12,3.833E-12,3.892E-12,3.975E-12,4.007E-12,4.037E-12
2.000,4.042E-12,3.811E-12,3.868E-12,3.949E-12,3.982E-12,4.011E-12
2.010,4.028E-12,3.795E-12,3.847E-12,3.928E-12,3.960E-12,3.990E-12
2.020,4.016E-12,3.782E-12,3.830E-12,3.910E-12,3.942E-12,3.972E-12
2.030,4.007E-12,3.772E-12,3.815E-12,3.895E-12,3.927E-12,3.956E-12
2.040,4.000E-12,3.764E-12,3.803E-12,3.881E-12,3.913E-12,3.942E-12
2.050,3.994E-12,3.757E-12,3.792E-12,3.869E-12,3.901E-12,3.930E-12
2.060,3.989E-12,3.752E-12,3.783E-12,3.858E-12,3.890E-12,3.919E-12
2.070,3.985E-12,3.748E-12,3.776E-12,3.848E-12,3.880E-12,3.908E-12
2.080,3.982E-12,3.744E-12,3.769E-12,3.839E-12,3.870E-12,3.898E-12
2.090,3.979E-12,3.742E-12,3.764E-12,3.830E-12,3.861E-12,3.889E-12
2.100,3.977E-12,3.740E-12,3.759E-12,3.822E-12,3.852E-12,3.880E-12
2.110,3.975E-12,3.738E-12,3.755E-12,3.814E-12,3.844E-12,3.872E-12
2.120,3.974E-12,3.736E-12,3.752E-12,3.807E-12,3.836E-12,3.864E-12
2.130,3.972E-12,3.735E-12,3.749E-12,3.800E-12,3.828E-12,3.855E-12
2.140,3.971E-12,3.734E-12,3.747E-12,3.794E-12,3.821E-12,3.848E-12
2.150,3.970E-12,3.734E-12,3.745E-12,3.789E-12,3.814E-12,3.840E-12
2.160,3.970E-12,3.733E-12,3.743E-12,3.784E-12,3.808E-12,3.833E-12
2.170,3.969E-12,3.733E-12,3.742E-12,3.780E-12,3.802E-12,3.826E-12
2.180,3.968E-12,3.732E-12,3.741E-12,3.777E-12,3.797E-12,3.820E-12
2.190,3.968E-12,3.732E-12,3.740E-12,3.774E-12,3.793E-12,3.814E-12
2.200,3.968E-12,3.732E-12,3.739E-12,3.771E-12,3.789E-12,3.808E-12
