Vin ,N10:d wdif 1.5e-06  (A),N10:d wdif 6e-06  (A),N10:d wdif 1.5e-05  (A),N10:d wdif 3.3e-05  (A),N10:d wdif 6.3e-05  (A)
900.0E-3,13.88E-12,7.775E-12,6.679E-12,6.173E-12,5.902E-12
910.0E-3,16.38E-12,8.744E-12,7.366E-12,6.728E-12,6.386E-12
920.0E-3,19.55E-12,9.991E-12,8.256E-12,7.450E-12,7.019E-12
930.0E-3,23.56E-12,11.59E-12,9.406E-12,8.388E-12,7.843E-12
940.0E-3,28.63E-12,13.65E-12,10.89E-12,9.600E-12,8.911E-12
950.0E-3,35.04E-12,16.28E-12,12.80E-12,11.16E-12,10.29E-12
960.0E-3,43.15E-12,19.65E-12,15.25E-12,13.18E-12,12.07E-12
970.0E-3,53.39E-12,23.96E-12,18.40E-12,15.78E-12,14.37E-12
980.0E-3,66.31E-12,29.48E-12,22.44E-12,19.11E-12,17.33E-12
990.0E-3,82.60E-12,36.52E-12,27.62E-12,23.40E-12,21.14E-12
1.000,103.1E-12,45.51E-12,34.26E-12,28.91E-12,26.03E-12
1.010,129.0E-12,56.99E-12,42.77E-12,35.98E-12,32.32E-12
1.020,161.5E-12,71.63E-12,53.66E-12,45.05E-12,40.40E-12
1.030,202.3E-12,90.30E-12,67.60E-12,56.67E-12,50.77E-12
1.040,253.6E-12,114.1E-12,85.43E-12,71.58E-12,64.08E-12
1.050,317.8E-12,144.4E-12,108.2E-12,90.68E-12,81.16E-12
1.060,398.3E-12,182.9E-12,137.4E-12,115.1E-12,103.1E-12
1.070,498.9E-12,232.0E-12,174.6E-12,146.5E-12,131.1E-12
1.080,624.5E-12,294.4E-12,222.2E-12,186.6E-12,167.1E-12
1.090,781.0E-12,373.6E-12,282.9E-12,237.9E-12,213.3E-12
1.100,975.6E-12,474.1E-12,360.3E-12,303.5E-12,272.3E-12
1.110,1.217E-9,601.5E-12,459.0E-12,387.4E-12,347.9E-12
1.120,1.516E-9,762.9E-12,584.7E-12,494.5E-12,444.7E-12
1.130,1.884E-9,966.8E-12,744.6E-12,631.3E-12,568.5E-12
1.140,2.338E-9,1.224E-9,947.9E-12,805.8E-12,726.6E-12
1.150,2.894E-9,1.549E-9,1.206E-9,1.028E-9,928.6E-12
1.160,3.573E-9,1.956E-9,1.533E-9,1.311E-9,1.186E-9
1.170,4.399E-9,2.468E-9,1.947E-9,1.670E-9,1.514E-9
1.180,5.398E-9,3.106E-9,2.468E-9,2.126E-9,1.932E-9
1.190,6.602E-9,3.902E-9,3.125E-9,2.703E-9,2.462E-9
1.200,8.043E-9,4.889E-9,3.949E-9,3.432E-9,3.133E-9
1.210,9.758E-9,6.107E-9,4.979E-9,4.348E-9,3.981E-9
1.220,11.78E-9,7.602E-9,6.260E-9,5.497E-9,5.049E-9
1.230,14.16E-9,9.425E-9,7.845E-9,6.929E-9,6.387E-9
1.240,16.92E-9,11.63E-9,9.792E-9,8.706E-9,8.056E-9
1.250,20.10E-9,14.28E-9,12.17E-9,10.89E-9,10.12E-9
1.260,23.73E-9,17.42E-9,15.04E-9,13.57E-9,12.67E-9
1.270,27.83E-9,21.12E-9,18.47E-9,16.80E-9,15.76E-9
1.280,32.38E-9,25.40E-9,22.53E-9,20.67E-9,19.50E-9
1.290,37.40E-9,30.30E-9,27.25E-9,25.23E-9,23.94E-9
1.300,42.82E-9,35.82E-9,32.66E-9,30.53E-9,29.14E-9
1.310,48.60E-9,41.91E-9,38.75E-9,36.56E-9,35.12E-9
1.320,54.63E-9,48.50E-9,45.45E-9,43.29E-9,41.84E-9
1.330,60.79E-9,55.45E-9,52.64E-9,50.60E-9,49.22E-9
1.340,66.90E-9,62.57E-9,60.12E-9,58.30E-9,57.06E-9
1.350,72.74E-9,69.60E-9,67.60E-9,66.10E-9,65.06E-9
1.360,78.07E-9,76.17E-9,74.71E-9,73.60E-9,72.81E-9
1.370,82.60E-9,81.89E-9,80.98E-9,80.28E-9,79.78E-9
1.380,86.08E-9,86.35E-9,85.92E-9,85.58E-9,85.33E-9
1.390,88.28E-9,89.18E-9,89.08E-9,88.99E-9,88.93E-9
1.400,89.06E-9,90.15E-9,90.16E-9,90.17E-9,90.18E-9
1.410,88.38E-9,89.18E-9,89.08E-9,88.99E-9,88.93E-9
1.420,86.27E-9,86.34E-9,85.91E-9,85.57E-9,85.33E-9
1.430,82.87E-9,81.87E-9,80.96E-9,80.25E-9,79.74E-9
1.440,78.40E-9,76.12E-9,74.66E-9,73.53E-9,72.74E-9
1.450,73.11E-9,69.51E-9,67.50E-9,65.99E-9,64.94E-9
1.460,67.28E-9,62.45E-9,59.97E-9,58.13E-9,56.88E-9
1.470,61.16E-9,55.28E-9,52.43E-9,50.38E-9,48.98E-9
1.480,54.99E-9,48.28E-9,45.19E-9,43.02E-9,41.56E-9
1.490,48.92E-9,41.64E-9,38.45E-9,36.24E-9,34.79E-9
1.500,43.09E-9,35.51E-9,32.33E-9,30.18E-9,28.78E-9
1.510,37.62E-9,29.97E-9,26.89E-9,24.86E-9,23.56E-9
1.520,32.55E-9,25.05E-9,22.16E-9,20.29E-9,19.12E-9
1.530,27.93E-9,20.75E-9,18.10E-9,16.43E-9,15.39E-9
1.540,23.79E-9,17.06E-9,14.67E-9,13.21E-9,12.31E-9
1.550,20.11E-9,13.92E-9,11.82E-9,10.55E-9,9.788E-9
1.560,16.88E-9,11.28E-9,9.461E-9,8.387E-9,7.747E-9
