Vin ,N10:d Vr 0.8  (A),N10:d Vr 1  (A),N10:d Vr 1.2  (A),N10:d Vr 1.4  (A),N10:d Vr 1.6  (A),N10:d Vr 1.8  (A)
940.0E-3,14.10E-9,58.38E-9,803.7E-12,8.911E-12,4.255E-12,4.082E-12
950.0E-3,11.38E-9,66.12E-9,1.023E-9,10.29E-12,4.261E-12,4.082E-12
960.0E-3,9.135E-9,73.56E-9,1.300E-9,12.07E-12,4.267E-12,4.082E-12
970.0E-3,7.303E-9,80.19E-9,1.653E-9,14.37E-12,4.276E-12,4.082E-12
980.0E-3,5.818E-9,85.46E-9,2.099E-9,17.33E-12,4.287E-12,4.082E-12
990.0E-3,4.620E-9,88.87E-9,2.663E-9,21.14E-12,4.302E-12,4.082E-12
1.000,3.659E-9,90.05E-9,3.373E-9,26.03E-12,4.321E-12,4.082E-12
1.010,2.891E-9,88.89E-9,4.267E-9,32.32E-12,4.346E-12,4.082E-12
1.020,2.280E-9,85.50E-9,5.386E-9,40.40E-12,4.378E-12,4.083E-12
1.030,1.795E-9,80.22E-9,6.781E-9,50.77E-12,4.420E-12,4.083E-12
1.040,1.411E-9,73.55E-9,8.513E-9,64.08E-12,4.475E-12,4.083E-12
1.050,1.108E-9,66.05E-9,10.65E-9,81.16E-12,4.546E-12,4.083E-12
1.060,869.3E-12,58.23E-9,13.26E-9,103.1E-12,4.639E-12,4.084E-12
1.070,681.3E-12,50.51E-9,16.43E-9,131.1E-12,4.761E-12,4.084E-12
1.080,533.7E-12,43.19E-9,20.22E-9,167.1E-12,4.924E-12,4.085E-12
1.090,417.8E-12,36.45E-9,24.72E-9,213.3E-12,5.143E-12,4.086E-12
1.100,327.0E-12,30.41E-9,29.95E-9,272.3E-12,5.440E-12,4.087E-12
1.110,255.9E-12,25.11E-9,35.94E-9,347.9E-12,5.838E-12,4.088E-12
1.120,200.4E-12,20.55E-9,42.65E-9,444.7E-12,6.367E-12,4.090E-12
1.130,156.9E-12,16.69E-9,49.97E-9,568.5E-12,7.063E-12,4.093E-12
1.140,123.0E-12,13.46E-9,57.72E-9,726.6E-12,7.971E-12,4.096E-12
1.150,96.60E-12,10.80E-9,65.60E-9,928.6E-12,9.154E-12,4.100E-12
1.160,75.99E-12,8.616E-9,73.21E-9,1.186E-9,10.69E-12,4.105E-12
1.170,59.93E-12,6.847E-9,80.02E-9,1.514E-9,12.68E-12,4.112E-12
1.180,47.43E-12,5.423E-9,85.44E-9,1.932E-9,15.25E-12,4.122E-12
1.190,37.71E-12,4.282E-9,88.95E-9,2.462E-9,18.58E-12,4.134E-12
1.200,30.15E-12,3.373E-9,90.16E-9,3.133E-9,22.87E-12,4.150E-12
1.210,24.29E-12,2.651E-9,88.95E-9,3.981E-9,28.41E-12,4.170E-12
1.220,19.73E-12,2.080E-9,85.43E-9,5.049E-9,35.56E-12,4.197E-12
1.230,16.20E-12,1.630E-9,79.98E-9,6.387E-9,44.77E-12,4.231E-12
1.240,13.47E-12,1.275E-9,73.13E-9,8.056E-9,56.64E-12,4.277E-12
1.250,11.36E-12,997.0E-12,65.46E-9,10.12E-9,71.93E-12,4.336E-12
1.260,9.721E-12,778.6E-12,57.51E-9,12.67E-9,91.63E-12,4.413E-12
1.270,8.461E-12,607.7E-12,49.69E-9,15.76E-9,117.0E-12,4.514E-12
1.280,7.491E-12,474.1E-12,42.31E-9,19.50E-9,149.6E-12,4.647E-12
1.290,6.745E-12,369.7E-12,35.55E-9,23.94E-9,191.6E-12,4.824E-12
1.300,6.175E-12,288.3E-12,29.53E-9,29.14E-9,245.5E-12,5.064E-12
1.310,5.741E-12,224.9E-12,24.27E-9,35.12E-9,314.9E-12,5.392E-12
1.320,5.413E-12,175.4E-12,19.77E-9,41.84E-9,404.0E-12,5.837E-12
1.330,5.166E-12,137.0E-12,15.98E-9,49.22E-9,518.4E-12,6.432E-12
1.340,4.981E-12,107.1E-12,12.83E-9,57.06E-9,665.2E-12,7.218E-12
1.350,4.842E-12,83.85E-12,10.25E-9,65.06E-9,853.4E-12,8.248E-12
1.360,4.736E-12,65.81E-12,8.140E-9,72.81E-9,1.094E-9,9.592E-12
1.370,4.654E-12,51.81E-12,6.441E-9,79.78E-9,1.403E-9,11.34E-12
1.380,4.590E-12,40.95E-12,5.079E-9,85.33E-9,1.797E-9,13.62E-12
1.390,4.539E-12,32.54E-12,3.994E-9,88.93E-9,2.299E-9,16.57E-12
1.400,4.499E-12,26.03E-12,3.133E-9,90.18E-9,2.937E-9,20.39E-12
1.410,4.466E-12,20.99E-12,2.453E-9,88.93E-9,3.747E-9,25.35E-12
1.420,4.439E-12,17.10E-12,1.917E-9,85.33E-9,4.772E-9,31.77E-12
1.430,4.417E-12,14.09E-12,1.496E-9,79.74E-9,6.061E-9,40.07E-12
1.440,4.398E-12,11.77E-12,1.166E-9,72.74E-9,7.676E-9,50.80E-12
1.450,4.382E-12,9.981E-12,908.2E-12,64.94E-9,9.686E-9,64.68E-12
1.460,4.367E-12,8.605E-12,706.7E-12,56.88E-9,12.17E-9,82.61E-12
