Vin ,N10:d l 6e-07  (A),N10:d l 1.2e-06  (A),N10:d l 1.8e-06  (A),N10:d l 2.4e-06  (A),N10:d l 6e-06  (A),N10:d l 1.2e-05  (A)
1.010,129.9E-12,32.32E-12,30.18E-12,30.82E-12,35.94E-12,42.18E-12
1.020,162.0E-12,40.40E-12,37.80E-12,38.65E-12,45.25E-12,53.25E-12
1.030,202.3E-12,50.77E-12,47.60E-12,48.74E-12,57.24E-12,67.49E-12
1.040,252.9E-12,64.08E-12,60.23E-12,61.72E-12,72.66E-12,85.77E-12
1.050,316.4E-12,81.16E-12,76.47E-12,78.44E-12,92.48E-12,109.2E-12
1.060,396.0E-12,103.1E-12,97.36E-12,99.93E-12,117.9E-12,139.3E-12
1.070,495.6E-12,131.1E-12,124.2E-12,127.6E-12,150.7E-12,177.9E-12
1.080,620.1E-12,167.1E-12,158.7E-12,163.1E-12,192.7E-12,227.4E-12
1.090,775.9E-12,213.3E-12,203.1E-12,208.8E-12,246.5E-12,290.7E-12
1.100,970.6E-12,272.3E-12,260.0E-12,267.4E-12,315.6E-12,371.6E-12
1.110,1.214E-9,347.9E-12,333.1E-12,342.8E-12,404.1E-12,475.1E-12
1.120,1.517E-9,444.7E-12,426.9E-12,439.4E-12,517.5E-12,607.1E-12
1.130,1.894E-9,568.5E-12,547.1E-12,563.2E-12,662.4E-12,775.3E-12
1.140,2.363E-9,726.6E-12,701.1E-12,721.9E-12,847.5E-12,989.5E-12
1.150,2.944E-9,928.6E-12,898.2E-12,924.9E-12,1.084E-9,1.261E-9
1.160,3.663E-9,1.186E-9,1.150E-9,1.184E-9,1.384E-9,1.606E-9
1.170,4.549E-9,1.514E-9,1.472E-9,1.516E-9,1.766E-9,2.042E-9
1.180,5.636E-9,1.932E-9,1.882E-9,1.938E-9,2.251E-9,2.592E-9
1.190,6.963E-9,2.462E-9,2.404E-9,2.474E-9,2.864E-9,3.282E-9
1.200,8.573E-9,3.133E-9,3.067E-9,3.155E-9,3.636E-9,4.146E-9
1.210,10.51E-9,3.981E-9,3.905E-9,4.015E-9,4.606E-9,5.222E-9
1.220,12.83E-9,5.049E-9,4.962E-9,5.099E-9,5.818E-9,6.555E-9
1.230,15.57E-9,6.387E-9,6.289E-9,6.458E-9,7.324E-9,8.196E-9
1.240,18.76E-9,8.056E-9,7.947E-9,8.152E-9,9.184E-9,10.20E-9
1.250,22.44E-9,10.12E-9,10.00E-9,10.25E-9,11.46E-9,12.63E-9
1.260,26.59E-9,12.67E-9,12.54E-9,12.83E-9,14.23E-9,15.55E-9
